level_name_2,level_name_3,brand_name,company_name,company_intro,renqi,address,page_num
设计师品牌,设计师女装品牌,Distin Kidny迪斯廷.凯,深圳市迪凯服饰有限公司,Distin Kidny迪斯廷.凯艺术女装品牌：Distin Kidny迪斯廷.凯服装已形成完整系列化。公司辖下三个产品系列：艺术、个性的时尚系列、生活浪漫的休闲系列以及知性、优雅的都会系列，满足...,2.6万,广东深圳,1
运动品牌,户外品牌,Lafuma,勒夫马商贸（北京）有限公司,"Lafuma品牌简介   Lafuma是欧洲著名的专业户外品牌，始于1930年的法国阿内龙(Anneyron, France)。它的出现是缘于三兄弟Victor（维克多）、Alfred（埃尔弗雷德）、Gabriel（加百利）对...",2万,北京朝阳区,1
女装品牌,时尚女装,SN,广东新龙新服饰有限公司,公司简介  广东新龙新服饰有限公司，成立于1997年，是一家集服装研发、设计、生产、营销为一体的专业服饰品牌公司。经过18年的努力拼搏，公司逐渐形成以连锁经营推动研发、制造、销售...,1.1万,广东汕头,1
设计师品牌,设计师女装品牌,阳光里的汀兰,北京原行服装服饰有限公司,原创设计师品牌阳光里的汀兰母公司原行——步履匆匆，不要因为走得太远而忘记为什么出发。 是一家新兴的具有人文情怀的服装企业，在背后精英团队的共同努力下，岁末年初之际公司正在...,651,北京大兴区,1
女装品牌,时尚女装,ANOTHER ONE,东莞市奥盈纪元服饰有限公司,东莞市奥盈纪元服饰有限公司成立于2016年6月，位于服装名镇东莞虎门，公司为意大利高街品牌“ANOTHER ONE”大中华区唯一运营商，在大中华区传播“另一种”“另一面”品牌着装文化与潮...,1.2万,广东,1
女装品牌,轻奢女装,OVV,上海型度服饰有限公司,OVV女装品牌创立于2017年5月19日，由上海型度服饰有限公司投资，总部位于上海 。旗下有新经典系列NEW CLASSIC、精致休闲系列 SMART CASUAL、度假派对系列VACATION & EVENT三大主...,336,上海崇明,1
内衣品牌,女性内衣,Asdet艾诗塔,浙江娅茜品牌管理有限公司,艾诗塔——娅茜（国际）内衣连锁旗下快时尚内衣品牌，创立于2014年，以甜美青春之势抢占市场。品牌集成了年轻女性所需的文胸、短裤、家居服、吊带衫、袜子、打底衫、围巾、拖鞋、毛巾...,1977,浙江杭州,1
女装品牌,森系女装,45R,日本45R有限公司,成立于1978年，便以一丝不苟的认真态度生产，并坚持怀旧美，让人自首天穿起，已感到非常贴心，就像一直在衣柜里相伴相随的心头好。就彷似日本的传统一样，母亲会把和服留给子女，然后...,7758,北京朝阳区,1
设计师品牌,设计师女装品牌,KAVON卡汶,深圳市嘉汶服饰有限公司,深圳市嘉汶服饰有限公司于2003年创立卡汶女装品牌，KAVON卡汶女装是香港嘉怡时装（国际）有限公司旗下的全资子公司，旗下拥有著名时尚女装品牌KAVON(卡汶)。        KAVON卡汶女装目...,5.5万,广东深圳,1
男装品牌,休闲男装,LANVIN,兰衣坊（上海）商业有限公司,兰衣坊（上海）商业有限公司是法国高级时装品牌LANVIN于中国的独家授权公司。 LANVIN服饰精品由Jeanne lanvin成立于1889年，是法国顶尖时尚品牌，产品包括高级男女成衣，皮具，服装配...,1.5万,上海普陀区,1
男装品牌,休闲男装,PULANGDA普朗达,泉州森琪普朗达服饰有限公司,普朗达/PULANGDA品牌男装以高品质的轻户外服装而驰名：本品牌主要客户群为中青年男性，他们独立且热爱生活，知性而向往心灵自由、思潮保持开放的胸襟，懂得享受生活并游刃自如。产品...,9,福建泉州,1
女装品牌,少淑女装,MULA慕拉,杭州唯卡服饰有限公司,MULA慕拉女装品牌所属杭州唯卡服饰有限公司是一家集合研发、生产、销售于一体的女装品牌公司。引进先进的经营管理理念，专业的研发设计，规模化的生产。公司已发展成为一家专业的现代...,1.4万,浙江杭州,1
内衣品牌,女性内衣,ROMENSA若曼莎,湖南若曼莎服装有限公司,ROMENSA若曼莎品牌创始于2000年，以亚洲女性需求为设计重点，采用百万级人台打模，以48张专利证书，确立成为亚洲无钢圈文胸的领先者。若曼莎总公司设立在中国台湾，中国大陆设有上海...,476,湖南长沙,1
设计师品牌,设计师女装品牌,XENNON囍侬,上海叁陈服饰有限公司,XENNON是原创文化、独立设计师品牌，结合高端定制的推广传播已然成为被受瞩目的贵族高端女装。囍欢你，囍欢你囍欢的.......服装是表达个人意识与品味素养的认知，囍侬为当代女性展示...,19,上海松江区,1
男装品牌,时尚男装,SINSOUL寻梭,上海吉年服装有限公司,SINSOUL寻梭男装秉持“最具性价比的时尚”的理念，将欧美流行文化提供给亚洲喜爱时尚的潮流人士。设计简约自然，注重为大众消费者打造优质时尚生活。专注产品原料和制作工艺的开发和...,9,上海长宁区,1
女装品牌,棉麻女装,赢唐,深圳市赢唐服饰有限公司,高端定制品牌“赢唐”倡导源自自然的服装，棉麻质地，制精而舒，身心愉悦，极简中透露着满足，而非西方时尚不断带来的虚无感。我们深信：时装不是武装，潮流由我，而非盲目和跟随。与...,10,广东深圳,1
女装品牌,淑女装,XINAI歆艾,广州歆艾服装有限公司,Admxin Ai歆艾布衣棉麻女装品牌：香港城市布衣服饰有限公司是一家集原创设计、生产及销售Admxin Ai歆艾布衣棉麻女装品牌专业时尚公司，公司以敏锐的时尚把握、先进的管理制度、完美的...,1.5万,广东广州,1
女装品牌,成熟女装,CAYNU卡伊奴,香港木乙国际时装有限公司,香港木乙国际时装有限公司，是一家专业从事品牌女装设计、开发、生产、销售为一体的集团公司，下设广州欧蒂时装有限公司和湖北伊奴时装有限公司。以香港总部的产品研发为依托，广州欧...,2.1万,广东广州,1
女装品牌,时尚女装,meacheal米茜尔,北京米茜尔制衣有限公司,品牌故事米茜尔( MEACHEAL )，古希腊神话中一位美丽的东方公主，是天神宙斯的女儿。米茜尔是宙斯最宠爱的女儿之一，她聪明智慧、温柔善良、果敢坚定。由于宙斯对他这个女儿极为珍爱，...,5.2万,北京朝阳区,1
男装品牌,休闲男装,天宾,中山市天宾服饰有限公司,天宾品牌正式成立于2008年，以舒适、时尚、精致、品味的个性化款式为品牌产品格调，不断更新求新，完善品牌产品，不断引进各类时尚元素加入到产品当中，逐步将品牌影响力提升，引领时...,5,广东中山,1
